pair,ancestry,method,b,se,pval,nsnp,note
SBP_AIS_EUR,EUR,MR-Egger intercept,-0.0042931838474162,0.00188354017200282,0.0231796331398131,398,""
SBP_AIS_EUR,EUR,Q (MR Egger),670.401857399685,396,1.94695537857369e-16,398,"b=Q, se=df"
SBP_AIS_EUR,EUR,Q (Inverse variance weighted),679.197128326861,397,4.03510295548834e-17,398,"b=Q, se=df"
SBP_AIS_EUR,EUR,MR-PRESSO (raw),0.0334844927988825,0.00251107192545782,8.87558057225624e-34,398,""
SBP_AIS_EUR,EUR,MR-PRESSO (outlier-corrected),0.0323261829373307,0.00231981727211076,4.21023465176173e-36,391,n_outliers=7
SBP_AIS_EUR,EUR,MR-PRESSO Global,,,<0.001,398,Global pleiotropy test
SBP_AIS_EUR,EUR,Radial-IVW,0.0334841525255544,0.00251106519396525,1.45553981305418e-40,398,""
TC_CAD_EUR,EUR,Inverse variance weighted,0.334284562530268,0.0380964269316283,1.71366260853871e-18,381,""
TC_CAD_EUR,EUR,MR Egger,0.51094462539072,0.0560283601929194,4.49887604540513e-18,381,""
TC_CAD_EUR,EUR,Weighted median,0.419742188651719,0.0390923420727271,6.8079835319159e-27,381,""
TC_CAD_EUR,EUR,Weighted mode,0.51407711470238,0.425954944382357,0.22822855348979,381,""
TC_CAD_EUR,EUR,MR-Egger intercept,-0.00572465916538571,0.00135537340092666,3.01327582498387e-05,381,""
TC_CAD_EUR,EUR,Q (MR Egger),1543.66827038677,379,4.4433832110503e-140,381,"b=Q, se=df"
TC_CAD_EUR,EUR,Q (Inverse variance weighted),1616.32839196876,380,8.80073876160264e-152,381,"b=Q, se=df"
TC_CAD_EUR,EUR,MR-PRESSO (raw),0.334284562530268,0.0380964269316283,5.87085044567398e-17,381,""
TC_CAD_EUR,EUR,MR-PRESSO (outlier-corrected),0.28496007454513,0.0319198555205078,2.45374383119352e-17,353,n_outliers=28
TC_CAD_EUR,EUR,MR-PRESSO Global,,,<0.001,381,Global pleiotropy test
TC_CAD_EUR,EUR,Radial-IVW,0.334218315782736,0.0381104699797259,1.79104243281878e-18,381,""
TG_CAD_EUR,EUR,Inverse variance weighted,0.366634100918594,0.0342714182927483,1.04048821580776e-26,411,""
TG_CAD_EUR,EUR,MR Egger,0.270420473894182,0.0517250604343323,2.73874025210733e-07,411,""
TG_CAD_EUR,EUR,Weighted median,0.354355312844953,0.0398118132875623,5.5466609737085e-19,411,""
TG_CAD_EUR,EUR,Weighted mode,0.352931761256012,0.369958520366526,0.340657593480555,411,""
TG_CAD_EUR,EUR,MR-Egger intercept,0.00270150881825747,0.00109303573617581,0.0138586084912915,411,""
TG_CAD_EUR,EUR,Q (MR Egger),1208.65461776694,409,5.53566027039928e-80,411,"b=Q, se=df"
TG_CAD_EUR,EUR,Q (Inverse variance weighted),1226.70651964621,410,2.3418962326678e-82,411,"b=Q, se=df"
TG_CAD_EUR,EUR,MR-PRESSO (raw),0.366634100918594,0.0342714182927483,1.00954177876045e-23,411,""
TG_CAD_EUR,EUR,MR-PRESSO (outlier-corrected),0.391499765118983,0.0284337181670571,2.36304297425741e-35,386,n_outliers=25
TG_CAD_EUR,EUR,MR-PRESSO Global,,,<0.001,411,Global pleiotropy test
TG_CAD_EUR,EUR,Radial-IVW,0.366648478286175,0.0342771739508433,1.05606075599424e-26,411,""
URATE_GOUT_EUR,EUR,Inverse variance weighted,1.2769755455231,0.058992391990346,6.56539137068844e-104,87,""
URATE_GOUT_EUR,EUR,MR Egger,1.4382043549501,0.0973595375516632,3.39919012174261e-25,87,""
URATE_GOUT_EUR,EUR,Weighted median,1.02096390982953,0.0624751862968697,4.96716838119488e-60,87,""
URATE_GOUT_EUR,EUR,Weighted mode,1.02128884708172,0.438816919599398,0.0222950734281622,87,""
